duplicates,duplicate_pairs
3395914437.jpg,['train-cgm-309.jpg']
3146983924.jpg,['train-cmd-1636.jpg']
3782909126.jpg,['train-cbsd-837.jpg']
4083768019.jpg,['train-cbb-155.jpg']
train-cmd-1919.jpg,['3718347785.jpg']
train-cbb-317.jpg,['train-cbsd-240.jpg']
train-cgm-528.jpg,['3413715358.jpg']
3279881598.jpg,['train-cbb-36.jpg']
2919116944.jpg,['train-cbb-113.jpg']
train-cgm-698.jpg,['train-cbb-374.jpg']
train-cbsd-1421.jpg,['3521763231.jpg']
843483418.jpg,['train-cbsd-1299.jpg']
train-cgm-712.jpg,['664583876.jpg']
train-cmd-477.jpg,['train-cbsd-481.jpg']
2754939037.jpg,['train-cgm-552.jpg']
3390516449.jpg,['train-cmd-333.jpg']
train-cgm-726.jpg,['1981291103.jpg']
3833092976.jpg,['train-cmd-1013.jpg']
1261540961.jpg,['train-cmd-1698.jpg']
train-cbsd-137.jpg,['1652157522.jpg']
3474522679.jpg,['train-cbsd-1011.jpg']
train-cmd-2451.jpg,['train-healthy-149.jpg']
2330851012.jpg,['train-cbsd-754.jpg']
train-cgm-687.jpg,['train-cbb-216.jpg']
train-cbsd-47.jpg,['190449795.jpg']
train-cbsd-39.jpg,['1575866220.jpg']
3457494065.jpg,['train-cgm-264.jpg']
1575866220.jpg,['train-cbsd-39.jpg']
train-cbb-381.jpg,['train-cbsd-216.jpg']
train-cbsd-349.jpg,['3335254269.jpg']
1239998285.jpg,['train-cbsd-1213.jpg']
train-cbb-113.jpg,['2919116944.jpg']
1789470358.jpg,['train-cgm-345.jpg']
178880482.jpg,['train-cmd-1067.jpg']
train-cbsd-1011.jpg,['3474522679.jpg']
3385309388.jpg,['train-cbsd-62.jpg']
1359438859.jpg,['train-cbb-448.jpg']
3293589198.jpg,['train-cbsd-183.jpg']
3175363969.jpg,['train-cbb-220.jpg']
train-cmd-1200.jpg,['3722626623.jpg']
2813897976.jpg,['train-cbsd-1318.jpg']
train-cbsd-729.jpg,['1492079032.jpg']
train-cmd-333.jpg,['3390516449.jpg']
train-cmd-1636.jpg,['3146983924.jpg']
train-cgm-345.jpg,['1789470358.jpg']
train-cbb-247.jpg,['train-cbsd-328.jpg']
train-cmd-1527.jpg,['2948559947.jpg']
872498616.jpg,['train-cbb-393.jpg']
train-cmd-1698.jpg,['1261540961.jpg']
train-cgm-309.jpg,['3395914437.jpg']
1981291103.jpg,['train-cgm-726.jpg']
train-cbsd-1325.jpg,['392503327.jpg']
train-cgm-246.jpg,['train-cbb-405.jpg']
train-cbb-306.jpg,['train-cbsd-931.jpg']
2069885945.jpg,['train-cbsd-921.jpg']
1923898414.jpg,['train-cbb-334.jpg']
train-healthy-149.jpg,['train-cmd-2451.jpg']
train-cbsd-481.jpg,['train-cmd-477.jpg']
train-cgm-279.jpg,['train-cbsd-1419.jpg']
train-cmd-1067.jpg,['178880482.jpg']
train-cmd-1315.jpg,['2265725202.jpg']
114251805.jpg,['train-cgm-482.jpg']
train-cbb-410.jpg,['1722033032.jpg']
train-cbb-97.jpg,['383932080.jpg']
405720625.jpg,['train-cmd-2.jpg']
train-cgm-455.jpg,['train-cbsd-1354.jpg']
1562043567.jpg,['3551135685.jpg']
train-cmd-1278.jpg,['1275608644.jpg']
train-cbsd-328.jpg,['train-cbb-247.jpg']
1652157522.jpg,['train-cbsd-137.jpg']
train-cbb-374.jpg,['train-cgm-698.jpg']
train-cgm-166.jpg,['train-cbsd-666.jpg']
train-cbsd-1299.jpg,['843483418.jpg']
3413715358.jpg,['train-cgm-528.jpg']
train-cgm-623.jpg,['2021239499.jpg']
1081937072.jpg,['train-cmd-809.jpg']
train-cmd-1013.jpg,['3833092976.jpg']
train-cbb-393.jpg,['872498616.jpg']
train-cbsd-931.jpg,['train-cbb-306.jpg']
train-cbb-216.jpg,['train-cgm-687.jpg']
1948579246.jpg,['train-cmd-590.jpg']
train-cbsd-1046.jpg,['train-cgm-253.jpg']
3551135685.jpg,['1562043567.jpg']
383932080.jpg,['train-cbb-97.jpg']
train-healthy-50.jpg,['train-cbsd-660.jpg']
train-cbsd-758.jpg,['980448273.jpg']
train-cmd-2214.jpg,['3930711994.jpg']
train-cbb-220.jpg,['3175363969.jpg']
train-cbsd-187.jpg,['414320641.jpg']
train-cbsd-632.jpg,['train-cbb-244.jpg']
241826799.jpg,['train-cbb-321.jpg']
train-cbsd-1213.jpg,['1239998285.jpg']
1275608644.jpg,['train-cmd-1278.jpg']
182701414.jpg,['train-cbsd-922.jpg']
392503327.jpg,['train-cbsd-1325.jpg']
train-cbsd-216.jpg,['train-cbb-381.jpg']
train-cbb-321.jpg,['241826799.jpg']
train-cbsd-656.jpg,['train-cbb-115.jpg']
3816048744.jpg,['train-cbsd-1221.jpg']
train-cbb-72.jpg,['3630015138.jpg']
train-cbb-254.jpg,['2548461545.jpg']
train-cbb-213.jpg,['train-cgm-321.jpg']
train-cbsd-922.jpg,['182701414.jpg']
train-cbsd-921.jpg,['2069885945.jpg']
train-cmd-809.jpg,['1081937072.jpg']
train-cbsd-1419.jpg,['train-cgm-279.jpg']
2380764597.jpg,['train-cbb-41.jpg']
3335254269.jpg,['train-cbsd-349.jpg']
train-cbsd-287.jpg,['391259058.jpg']
3385144102.jpg,['train-cgm-370.jpg']
train-cgm-370.jpg,['3385144102.jpg']
1830481275.jpg,['train-cbb-335.jpg']
train-cgm-497.jpg,['4121231239.jpg']
train-cmd-2.jpg,['405720625.jpg']
379373523.jpg,['train-cgm-323.jpg']
3722626623.jpg,['train-cmd-1200.jpg']
train-cbb-221.jpg,['3397650599.jpg']
train-cgm-410.jpg,['2252678193.jpg']
1836918462.jpg,['train-cbsd-1210.jpg']
train-cbsd-62.jpg,['3385309388.jpg']
train-cbsd-1318.jpg,['2813897976.jpg']
train-cbsd-791.jpg,['train-cgm-90.jpg']
1722033032.jpg,['train-cbb-410.jpg']
414320641.jpg,['train-cbsd-187.jpg']
3718347785.jpg,['train-cmd-1919.jpg']
train-cbb-19.jpg,['2221889127.jpg']
train-cbsd-660.jpg,['train-healthy-50.jpg']
664583876.jpg,['train-cgm-712.jpg']
train-cgm-552.jpg,['2754939037.jpg']
391259058.jpg,['train-cbsd-287.jpg']
881299929.jpg,['train-cmd-1238.jpg']
