duplicates,duplicate_pairs
1000015157.jpg,['extra-image-16009.jpg']
1001320321.jpg,['extra-image-11863.jpg']
100204014.jpg,['extra-image-1657.jpg']
1003218714.jpg,['extra-image-7454.jpg']
100472565.jpg,['extra-image-8300.jpg']
1009037539.jpg,['extra-image-9067.jpg']
1009126931.jpg,['extra-image-15859.jpg']
1009268848.jpg,['extra-image-8879.jpg']
1009441020.jpg,['extra-image-5057.jpg']
1009489704.jpg,['extra-image-8187.jpg']
1009704586.jpg,['extra-image-14459.jpg']
1011422445.jpg,['extra-image-3105.jpg']
1011602291.jpg,['extra-image-3442.jpg']
1012623980.jpg,['extra-image-8310.jpg']
1013678821.jpg,['extra-image-13936.jpg']
1014359226.jpg,['extra-image-15613.jpg']
1015034348.jpg,['extra-image-15345.jpg']
1016955090.jpg,['extra-image-13843.jpg']
101876866.jpg,['extra-image-13378.jpg']
1019486948.jpg,['extra-image-11477.jpg']
101960837.jpg,['extra-image-11420.jpg']
1021758544.jpg,['extra-image-11380.jpg']
1022008227.jpg,['extra-image-10626.jpg']
1022475063.jpg,['extra-image-15219.jpg']
1024191493.jpg,['extra-image-14162.jpg']
1025198223.jpg,['extra-image-9618.jpg']
1025492337.jpg,['extra-image-12180.jpg']
1025557405.jpg,['extra-image-11321.jpg']
1026177105.jpg,['extra-image-14134.jpg']
1027796931.jpg,['extra-image-8750.jpg']
1028041356.jpg,['extra-image-15621.jpg']
1028105805.jpg,['extra-image-10238.jpg']
1028318593.jpg,['extra-image-4504.jpg']
1028629473.jpg,['extra-image-15485.jpg']
1032082353.jpg,['extra-image-9414.jpg']
1033403106.jpg,['extra-image-7419.jpg']
1033787784.jpg,['extra-image-16011.jpg']
1035350866.jpg,['extra-image-14229.jpg']
1035475040.jpg,['extra-image-5491.jpg']
1036692910.jpg,['extra-image-6340.jpg']
103776422.jpg,['extra-image-14073.jpg']
1038176489.jpg,['extra-image-874.jpg']
1039045921.jpg,['extra-image-10299.jpg']
1039676268.jpg,['extra-image-1575.jpg']
