duplicates,duplicate_pairs
extra-image-10575.jpg,['extra-image-1438.jpg']
extra-image-10581.jpg,['extra-image-10605.jpg']
extra-image-10756.jpg,['extra-image-3369.jpg']
extra-image-12005.jpg,['extra-image-8603.jpg']
extra-image-1233.jpg,['extra-image-9586.jpg']
extra-image-12476.jpg,['extra-image-6922.jpg']
extra-image-12884.jpg,['extra-image-8527.jpg']
extra-image-1345.jpg,['extra-image-14751.jpg']
extra-image-13485.jpg,['extra-image-6320.jpg']
extra-image-13814.jpg,['extra-image-862.jpg']
extra-image-14533.jpg,['extra-image-8025.jpg']
extra-image-14737.jpg,['extra-image-5578.jpg']
extra-image-1487.jpg,['extra-image-6751.jpg']
extra-image-15820.jpg,['extra-image-7080.jpg']
extra-image-2509.jpg,['extra-image-3546.jpg']
extra-image-4288.jpg,['extra-image-8807.jpg']
extra-image-5512.jpg,"['extra-image-5748.jpg', 'extra-image-8212.jpg']"
extra-image-8517.jpg,['extra-image-9392.jpg']
